,monthly_income,gig_economy_weekly_income,atm_check_deposits_weekly_income,direct_deposit_weekly_income,government_aid_weekly_income,frequency_heuristic_weekly_income,large_deposits_weekly_income,income_length,payrolls_per_month,income_sources,days_since_most_recent_payroll,days_until_next_payroll,bank_balance,overdraft_transactions,nsf_transactions,return_transactions,reverse_transactions,length_of_transaction_history,mortgage,auto_loan,student_loan,traditional_single_payment,installment_loan,predatory_installment_loan,title_loan,pay_advances,total_loan_payments,no_of_other_active_loans,traditional_single_payment_mean,traditional_single_payment_trend,loan_amount,loan_requested,loan_borrowed_inc,loan_outstanding_inc,state,loan_id,status
0,9746.27411175997,2110.0529121721834,4210.720160136106,920.9864028560422,2953.0325425552483,4921.920458551292,11573.798929397639,57,46.755418481460296,7,793,151,73855.8203432053,59,1,59,61,848,1695.7223684046457,1843.273008185417,419.89724285993026,1180.2028362705742,1847.087537638039,1433.4925530345781,807.5168591801053,4203.700243579632,16915.492430150596,9,34.67390242319817,24.471378012999857,11,280,19.739599655236397,11.544860151038645,"""LA""",0,1
1,5809.632125845924,1760.4239471036037,442.3508617488853,3577.5656763143784,218.2978880907338,12789.82404043922,2254.2891803320454,832,68.2062292012467,13,594,127,11209.497036551364,98,92,50,67,63,4950.405407899292,3325.5424432822856,43.112800294865195,2367.0130363158696,4887.193026028454,3581.55018892796,63.42702695100533,4728.268624079801,8643.405003511118,3,0.6773664516803002,1.9374029827078065,401,467,719.5981328863451,420.8626291424088,"""AR""",1,1
2,1677.7912407650008,3917.0688646754793,4725.259794353787,7022.292098525477,2879.6766031160714,14048.821946812304,13290.042352104005,393,129.93590585319478,22,361,157,51204.78014030393,16,2,65,56,829,2131.5642490968116,511.8306249960658,480.7054417558105,2324.3712239456354,3841.8354004911475,564.7376107818602,0.6139687743489386,2252.973349762193,141.80312335965172,22,19.62173999554625,8.462276454079959,64,131,114.8485798122845,67.17009542422484,"""NH""",2,1
3,889.1069366278093,2898.865540360061,2547.4766199834735,8931.253260479833,567.2490121519535,11004.324787043795,2177.3322139846437,434,105.54400462483306,15,833,101,55882.22562761185,17,4,16,23,336,2949.9767787640963,3322.6995171795666,278.0972610259722,2210.998038176055,3128.774171226435,1529.4064888251573,62.386959515936425,2484.893500438329,15766.53807569623,19,46.246006944855395,5.385597609348007,37,365,66.39683520397698,38.83271141712999,"""IL""",3,0
4,3360.1574397627655,4910.0048193303,2908.963151790074,9460.821307273609,2280.2507699978546,12526.233949047406,1098.1846065731404,677,195.87929057980142,17,193,147,21980.922035394724,98,1,89,47,787,1247.4696032709414,817.8892461542325,354.36120125782253,2478.7455085581405,3540.970338397053,4630.188350413675,45.07249514295031,1388.3369023211494,3608.6859970825058,10,5.47801202282478,10.228896170858615,33,407,59.2187989657092,34.63458045311594,"""IA""",4,0
5,973.1025002425764,2502.255442498409,2037.675700992,974.0794328473912,137.9869491068503,2471.6711983679847,3917.5260433963444,784,103.92099934611316,16,412,12,16234.472316595005,22,83,14,17,979,2972.2529144942587,1823.9233339235793,700.896557173159,4431.25942813547,3116.3494751164258,831.1097428328612,788.9946118179222,527.7171288666088,1763.6114113927936,16,42.08816828875905,29.2023275709822,231,198,414.5315927599644,242.44206317181158,"""CT""",5,0
6,4535.015308163417,4405.747835240421,2328.753146377946,4781.45027430446,573.8247395274201,4453.1433754730715,9780.55481710291,43,134.96268654593678,22,226,191,12160.569303460512,28,56,73,24,303,639.8030555789558,1841.6817258310887,810.2940203837495,2506.298097228098,4426.050431125764,2322.6468889919342,856.1934202316374,343.3141922418198,386.6594239100829,11,34.07266573682154,26.938244725245116,317,244,568.8593718827217,332.7018788981137,"""LA""",6,0
7,9247.18849127961,854.8399466712797,2473.623268338668,8073.737083709039,1774.3530624269151,9032.846544897935,12101.422970103225,975,111.17937952671886,3,524,78,74183.49386064216,47,94,61,20,526,3998.2581082610045,855.3366667756574,123.60285548957583,1290.0049876129117,2475.745877236887,3597.2494962392298,751.3043920930397,2580.0773911151737,11896.48795968485,28,14.785066752276583,4.8508682572734205,438,49,785.994968090322,459.6953405595388,"""CT""",7,0
8,9912.911824899134,2221.840678969021,445.5633854544294,5970.674573211503,8.00866010839718,13544.811983571763,14372.199984317695,133,162.6822778521195,9,881,86,63289.34875834493,15,1,51,48,750,4721.593922692363,2317.1905433284624,603.0383891374888,2252.0079501276746,2169.920536055108,4234.648541902984,538.2656252537128,2499.316077356343,3355.977257219338,11,1.4599453528764073,4.85975176216078,131,186,235.08068680326983,137.48878907146022,"""NH""",8,0
9,3545.372497779722,4693.410679973052,1786.3217636878142,6727.027801305725,2785.439743563184,8700.264039018868,2266.9613416189536,630,10.416782697641969,12,731,39,66589.82134883576,64,38,40,34,827,860.65030605398,3739.6231861092274,307.33505772183634,3157.3439170481774,4967.6972026623935,428.8853048263097,919.583960195481,3289.4373122233537,948.8116710349992,5,3.237422553546815,3.050916178372165,176,406,315.83359448378235,184.7177624166183,"""HI""",9,0
